duration_seconds,packet_count,total_bytes,bytes_per_sec,packets_per_sec,syn_count,ack_count,fin_count,rst_count,syn_ack_ratio,rst_ratio,attack_type,Label
84.34227,13.0,11960.0,141.80315,0.15413386,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.001159,2.0,178.0,153580.67,1725.6255,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
3.4e-05,2.0,0.0,0.0,58823.53,0.0,1.0,0.0,0.0,0.0,0.0,BENIGN,0
0.01802,2.0,0.0,0.0,110.98779,0.0,1.0,0.0,0.0,0.0,0.0,BENIGN,0
83.79757,14.0,11914.0,142.17596,0.16706929,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.000231,3.0,14.0,60606.062,12987.013,1.0,1.0,0.0,0.0,0.5,0.0,FTP-Patator,1
98.5459,17.0,11926.0,121.019745,0.17250845,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.016152,2.0,96.0,5943.5366,123.82368,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
98.729675,13.0,11939.0,120.926155,0.13167268,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
3e-06,2.0,12.0,4e+06,666666.7,0.0,1.0,0.0,0.0,0.0,0.0,BENIGN,0
47.578648,4.0,37.0,0.7776598,0.08407133,0.0,1.0,0.0,0.0,0.0,0.0,BENIGN,0
0.208192,14.0,5706.0,27407.393,67.24562,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
0.000109,2.0,0.0,0.0,18348.623,0.0,1.0,0.0,0.0,0.0,0.0,SSH-Patator,1
4e-06,2.0,0.0,0.0,500000.0,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
101.30165,16.0,12973.0,128.06306,0.15794411,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
0.464774,28.0,9078.0,19532.074,60.244335,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
98.44519,12.0,11975.0,121.64129,0.12189523,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
99.537735,12.0,11965.0,120.20567,0.1205573,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
0.065338,4.0,494.0,7560.6846,61.220116,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
0.135589,2.0,106.0,781.77435,14.750459,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
31.459394,25.0,10177.0,323.49637,0.7946752,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
99.70785,15.0,11939.0,119.73982,0.1504395,1.0,1.0,0.0,0.0,0.5,0.0,BENIGN,0
0.147503,9.0,11937.0,80927.164,61.01571,0.0,0.0,0.0,0.0,0.0,0.0,DoS Hulk,1
3e-06,2.0,0.0,0.0,666666.7,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.000141,2.0,12.0,85106.38,14184.397,0.0,1.0,0.0,0.0,0.0,0.0,BENIGN,0
85.42119,11.0,11985.0,140.30476,0.12877367,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
100.38968,14.0,12275.0,122.27352,0.13945657,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
99.76673,13.0,12237.0,122.65612,0.13030396,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
3e-06,2.0,0.0,0.0,666666.7,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
5.247149,6.0,181.0,34.494923,1.1434782,1.0,1.0,0.0,0.0,0.5,0.0,BENIGN,0
0.060039,2.0,262.0,4363.83,33.31168,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
98.64391,11.0,11949.0,121.13266,0.1115122,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
98.35677,13.0,11953.0,121.52697,0.13217188,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
100.07965,13.0,11992.0,119.82456,0.12989654,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
2e-06,2.0,0.0,0.0,1e+06,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
100.60937,14.0,11975.0,119.0247,0.13915205,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.000985,2.0,0.0,0.0,2030.4569,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.00015,4.0,208.0,1.3866666e+06,26666.666,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
93.53502,9.0,11957.0,127.83448,0.09622065,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
99.61386,16.0,12395.0,124.43047,0.16062021,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
84.22715,14.0,11968.0,142.09195,0.1662172,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
4.7e-05,2.0,0.0,0.0,42553.19,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
0.176296,24.0,6468.0,36688.297,136.13469,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
0.00645,2.0,12.0,1860.4651,310.0775,0.0,1.0,1.0,0.0,0.0,0.0,BENIGN,0
98.40958,14.0,11919.0,121.116264,0.14226258,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
5e-06,2.0,0.0,0.0,400000.0,0.0,1.0,0.0,0.0,0.0,0.0,DoS Hulk,1
83.74832,13.0,11933.0,142.48643,0.15522699,0.0,0.0,1.0,0.0,0.0,0.0,DoS Hulk,1
0.000208,4.0,314.0,1.5096154e+06,19230.77,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0
